Material_ID,Material_Description,Category,Unit_Price,Stock_Quantity,Vendor_Code,Last_Updated,Active_Status
1000,Product_1000,Raw Material,204.86,651,V004,2025-12-16 11:05:32.730747,Y
1001,Product_1001,Snacks,336.32,782,V003,2025-12-15 11:05:32.730764,
1002,Product_1002,Raw Material,339.44,652,V004,2025-12-14 11:05:32.730770,Y
1003,Product_1003,Alcohol,497.81,966,V003,2025-12-13 11:05:32.730773,Y
1004,Product_1004,Raw Material,29.18,631,V002,2025-12-12 11:05:32.730775,
1005,Product_1005,Merchandise,112.42,804,V003,2025-12-11 11:05:32.730783,N
1006,Product_1006,Snacks,177.05,601,V004,2025-12-10 11:05:32.730785,Y
1007,Product_1007,Alcohol,262.36,514,V004,2025-12-09 11:05:32.730788,
1008,Product_1008,Raw Material,317.28,224,V004,2025-12-08 11:05:32.730790,
1009,Product_1009,Beverages,468.82,612,V004,2025-12-07 11:05:32.730792,
1010,Product_1010,Beverages,415.11,97,V004,2025-12-06 11:05:32.730795,
1011,Product_1011,Alcohol,301.44,457,V003,2025-12-05 11:05:32.730797,Y
1012,Product_1012,Snacks,69.24,567,V004,2025-12-04 11:05:32.730799,N
1013,Product_1013,Beverages,431.51,504,V001,2025-12-03 11:05:32.730801,N
1014,Product_1014,Raw Material,331.89,168,V002,2025-12-02 11:05:32.730803,N
1015,Product_1015,Beverages,76.82,454,V002,2025-12-01 11:05:32.730805,Y
1016,Product_1016,Merchandise,86.09,909,V004,2025-11-30 11:05:32.730807,N
1017,Product_1017,Snacks,258.46,478,V001,2025-11-29 11:05:32.730809,
1018,Product_1018,Raw Material,410.7,849,V001,2025-11-28 11:05:32.730812,N
1019,Product_1019,Snacks,162.12,158,V005,2025-11-27 11:05:32.730814,N
1020,Product_1020,Raw Material,184.28,199,V004,2025-11-26 11:05:32.730816,
1021,Product_1021,Merchandise,356.04,151,V003,2025-11-25 11:05:32.730818,N
1022,Product_1022,Raw Material,17.37,420,V002,2025-11-24 11:05:32.730820,Y
1023,Product_1023,Merchandise,200.25,350,V002,2025-11-23 11:05:32.730822,N
1024,Product_1024,Raw Material,114.24,571,V005,2025-11-22 11:05:32.730824,
1025,Product_1025,Alcohol,106.53,-3,V005,2025-11-21 11:05:32.730826,N
1026,Product_1026,Beverages,55.64,800,V005,2025-11-20 11:05:32.730828,
1027,Product_1027,Raw Material,213.67,697,V003,2025-11-19 11:05:32.730831,
1028,Product_1028,Alcohol,61.37,758,V001,2025-11-18 11:05:32.730833,N
1029,Product_1029,Merchandise,419.68,342,V004,2025-11-17 11:05:32.730834,
1030,Product_1030,Alcohol,301.29,950,V001,2025-11-16 11:05:32.730837,
1031,Product_1031,Snacks,75.94,129,V003,2025-11-15 11:05:32.730839,Y
1032,Product_1032,Merchandise,305.21,904,V002,2025-11-14 11:05:32.730840,Y
1033,Product_1033,Snacks,362.82,89,V005,2025-11-13 11:05:32.730843,Y
1034,Product_1034,Beverages,378.71,700,V003,2025-11-12 11:05:32.730845,N
1035,Product_1035,Snacks,68.31,310,V005,2025-11-11 11:05:32.730847,Y
